8.149241;2.654893,2.345978,4.569575;-2.066195,-1.825779-3.556314;0,0,0;0,0,0;0
8.157436;2.596118,2.294042,4.468412;-2.066195,-1.825779-3.556314;0,0,0;0,0,0;0
8.174774;2.559857,2.262,4.405998;-2.066195,-1.825779-3.556314;0,0,0;0,0,0;0
8.190413;2.527393,2.233314,4.350122;-2.066195,-1.825779-3.556314;0,0,0;0,0,0;0
8.206944;2.493421,2.203294,4.291649;-2.066195,-1.825779-3.556314;0,0,0;0,0,0;0
8.223545;2.459106,2.172973,4.232588;-2.066195,-1.82578-3.556314;0,0,0;0,0,0;0
8.240434;2.42496,2.1428,4.173816;-2.066195,-1.82578-3.556314;0,0,0;0,0,0;0
8.256733;2.390629,2.112464,4.114726;-2.066195,-1.82578-3.556314;0,0,0;0,0,0;0
8.273483;2.355845,2.081727,4.054855;-2.066195,-1.82578-3.556314;0,0,0;0,0,0;0
8.289743;2.322272,2.05206,3.99707;-2.066195,-1.82578-3.556314;0,0,0;0,0,0;0
8.306525;2.2876,2.021423,3.937394;-2.066195,-1.82578-3.556314;0,0,0;0,0,0;0
8.322861;2.253814,1.991568,3.879241;-2.066195,-1.82578-3.556314;0,0,0;0,0,0;0
8.339721;2.219281,1.961053,3.819803;-2.066195,-1.82578-3.556314;0,0,0;0,0,0;0
8.356043;2.185352,1.931072,3.761405;-2.066195,-1.82578-3.556314;0,0,0;0,0,0;0
8.372538;2.151123,1.900825,3.70249;-2.066195,-1.82578-3.556314;0,0,0;0,0,0;0
8.389445;2.116095,1.869873,3.642201;-2.066195,-1.82578-3.556314;0,0,0;0,0,0;0
8.405709;2.082661,1.840329,3.584653;-2.066195,-1.82578-3.556314;0,0,0;0,0,0;0
8.422461;2.047922,1.809633,3.524862;-2.066195,-1.82578-3.556314;0,0,0;0,0,0;0
8.43883;2.0142,1.779835,3.46682;-2.066195,-1.82578-3.556313;0,0,0;0,0,0;0
8.455487;1.979725,1.749371,3.407482;-2.066195,-1.82578-3.556314;0,0,0;0,0,0;0
8.472493;1.944553,1.718291,3.346944;-2.066195,-1.82578-3.556313;0,0,0;0,0,0;0
8.488544;1.911485,1.689071,3.290028;-2.066195,-1.82578-3.556313;0,0,0;0,0,0;0
8.5054;1.876378,1.658049,3.229602;-2.066195,-1.82578-3.556314;0,0,0;0,0,0;0
8.522491;1.841184,1.62695,3.169027;-2.066195,-1.82578-3.556313;0,0,0;0,0,0;0
8.538578;1.808149,1.597759,3.112168;-2.066195,-1.82578-3.556314;0,0,0;0,0,0;0
8.554775;1.774596,1.56811,3.054415;-2.066195,-1.82578-3.556314;0,0,0;0,0,0;0
8.571504;1.739985,1.537526,2.994843;-2.066195,-1.82578-3.556314;0,0,0;0,0,0;0
8.587903;1.706133,1.507613,2.936578;-2.066195,-1.82578-3.556314;0,0,0;0,0,0;0
8.604563;1.671741,1.477223,2.877384;-2.066195,-1.82578-3.556314;0,0,0;0,0,0;0
8.620914;1.637674,1.44712,2.818748;-2.066195,-1.82578-3.556314;0,0,0;0,0,0;0
8.637677;1.603442,1.416871,2.759828;-2.066195,-1.82578-3.556314;0,0,0;0,0,0;0
8.654624;1.568404,1.38591,2.699521;-2.066195,-1.82578-3.556314;0,0,0;0,0,0;0
8.670856;1.534981,1.356376,2.641993;-2.066195,-1.82578-3.556314;0,0,0;0,0,0;0
8.687642;1.500209,1.32565,2.582144;-2.066195,-1.82578-3.556314;0,0,0;0,0,0;0
8.703855;1.466523,1.295884,2.524164;-2.066195,-1.82578-3.556314;0,0,0;0,0,0;0
8.720545;1.432054,1.265425,2.464836;-2.066195,-1.82578-3.556314;0,0,0;0,0,0;0
8.748466;1.396926,1.234383,2.404374;-2.064587,-1.824405-3.553545;2.69,2.304813,4.63;0,-3,0;0
8.754732;1.360642,1.20232,2.341923;-2.063879,-1.823817-3.552326;2.69,2.238626,4.63;0,-3,0;0
8.771426;1.326464,1.172116,2.283095;-2.062763,-1.822907-3.550405;2.69,2.197603,4.63;0,-3,0;0
8.787971;1.294597,1.143801,2.228246;-1.923428,-1.709059-3.310583;2.69,2.197603,4.63;0,-3,0;0
8.804544;1.267181,1.11913,2.181058;-1.654942,-1.489241-2.848468;2.69,2.197603,4.63;0,-3,0;0
8.821282;1.245779,1.099369,2.144222;-1.278275,-1.180258-2.200153;2.69,2.197603,4.63;0,-3,0;0
8.83831;1.231771,1.085651,2.120111;-0.8238888,-0.8068191-1.418068;2.69,2.197603,4.63;0,-3,0;0
8.85441;1.218568,1.072718,2.097387;-0.8230081,-0.8062208-1.416552;2.69,1.9107,4.63;0,-3,0;0
8.870797;1.206638,1.060545,2.076853;-0.7239229,-0.7386308-1.246008;2.69,1.9107,4.63;0,-3,0;0
8.88733;1.194656,1.048316,2.056231;-0.7233123,-0.7382358-1.244957;2.69,1.836452,4.63;0,-3,0;0
8.904573;1.182416,1.035816,2.035162;-0.7223213,-0.7376741-1.243251;2.69,1.673927,4.63;0,-3,0;0
8.920506;1.172252,1.024746,2.017668;-0.6278626,-0.6837845-1.08067;2.69,1.673927,4.63;0,-3,0;0
8.937377;1.161729,1.013276,1.999556;-0.626869,-0.6833097-1.07896;2.69,1.489309,4.63;0,-3,0;0
8.953641;1.153019,1.002847,1.984564;-0.532836,-0.6379752-0.9171111;2.69,1.489309,4.63;0,-3,0;0
8.970325;1.147184,0.9936872,1.974522;-0.3496435,-0.5489036-0.6018022;2.69,1.489309,4.63;0,-3,0;0
8.986704;1.145637,0.9867215,1.971859;-0.09408816,-0.4235865-0.1619431;2.69,1.489309,4.63;0,-3,0;0
9.003275;1.144086,0.9797055,1.969189;-0.09363016,-0.4234846-0.1611548;2.69,1.055373,4.63;0,-3,0;0
9.020301;1.143864,0.9728291,1.968808;-0.0130377,-0.4051955-0.02243993;2.69,1.055373,4.63;0,-3,0;0
9.0365;1.143664,0.9662803,1.968463;-0.01239248,-0.4051495-0.02132938;2.69,0.806127,4.63;0,-3,0;0
9.053048;1.143469,0.9595669,1.968127;-0.01177019,-0.4052666-0.0202583;2.69,0.3919154,4.63;0,-3,0;0
9.069586;1.144509,0.952626,1.969917;0.06277278,-0.41896620.1080443;2.69,0.3919154,4.63;0,-3,0;0
